Article_ID,Date,Title,Summary,Topic_2digit
24029,2/26/2004,Some in G.O.P. Cool To Gay Marriage Ban,Mixed reactions among Republicans to Bush's call for a constitutional ban on same-sex marriages.,2
24030,2/26/2004,COURT SAYS STATES NEED NOT FINANCE DIVINITY STUDIES,Supreme Court decision rejecting case for States' to subsidize religious studies as part of upholding the free exercise of religion.,2
24031,2/26/2004,Striding Out on Top,Retirement of Gucci head Tom Ford; photo of last exhibition.,28
24032,2/26/2004,MILITARY WOMEN REPORTING RAPES BY U.S. SOLDIERS,Large-scale incidence of rape among U.S. forces deployed in Middle East.,16
24033,2/26/2004," Israelis, in Raid on Arab Banks, Seize Reputed Terrorist Funds",Israel-Palestine; seizure during raid in Ramallah of funds claimed to be used for terrorist financing.,19
24034,2/26/2004,France Seeks U.N. Force in Haiti And the Resignation of Aristide,Haitian crisis; French call for the resignation of Aristide and the deployment of a U.N. stabilization force.,19
24035,2/26/2004,"To Trim Deficit, Greenspan Urges Social Security and Medicare Cuts",Alan Greenspan's recommendations to limit the budget deficit; disagreement with Bush policies.,1
24036,2/26/2004," For Ex-Senator, Kerry Race Is Chance to Rejoin the Battle",Presidential election; role of Vietnam veteran and defeated Senator Max Cleland in Kerry campaign.,20
24037,2/27/2004,Older Women Team Up to Face Future Together,Single-women plans for shared retirement as an alternative to nursing homes.,13
24038,2/27/2004, IRAQI AYATOLLAH INSISTS ON VOTE BY END OF YEAR,Shiite religious leader calls for elections to be held before 2005.,19
24039,2/27/2004, Criticism Mounting As Disney's Leader Faces Crucial Vote,Disney corporation; shareholder revolt against CEO Michael Eisner.,15
24040,2/27/2004,Edwards Challenges Kerry Over Who Can Win,"Democratic campaign; Edwards questioning of Kerry's ""electability.""",20
24041,2/27/2004,"For Exercise in New York Futility, Push Button",Unannounced de-activation of pedestrian traffic buttons in NYC.,10
24042,2/27/2004,Ex-Aide to Blair Says the British Spied on Annan,Former Blair minister's allegations that British intelligence spied on U.N. Secretary General.,19
24043,2/27/2004,TWO STUDIES CITE CHILD SEX ABUSE BY 4% OF PRIESTS,Church sex-abuse scandal; study findings that 4% of priests abused children between 1950 and 2002.,12
24044,2/28/2004,Same-Sex Weddings In Upstate Village Test New York Law,Same-sex unions celebrated in NY State to test State law on the issue.,2
24045,2/28/2004, Electronic Vote Faces Big Test Of Its Security,Presidential election; role of large round of primary elections as test for electronic voting systems.,20
24046,2/28/2004," In '71 Antiwar Words, a Complex View of Kerry",Kerry campaign; issue of Kerry's antiwar activities.,20
24047,2/28/2004,Most Serious Charge Against Stewart Is Dismissed,Martha Stewart trial; dismissal of most serious charge.,12
24048,2/28/2004," REBELS NEARING HAITIAN CAPITAL, DEEPENING PANIC",Haitian crisis; approach of rebels to capital.,19
24049,2/28/2004,"ABUSE SCANDAL HAS BEEN ENDED, TOP BISHOP SAYS",Church sex-abuse scandal; bishop's claim that the scandal is over.,12
24050,2/29/2004, New U.S. Effort Steps Up Hunt For bin Laden,Bush plan to intensify efforts in Afghanistan and Pakistan to capture Osama Bin Laden.,16
24051,2/29/2004," Through Gaps in System, Nurse Left Trail of Grief",Story of hospital nurse responsible for tens of death by drug overdosing.,12
24052,2/29/2004,Web of Friends and Business Blurs Stewart's Glossy Image,Martha Stewart trial; revelations from trial leading to a modification of her public image.,12
24053,2/29/2004,BUSH INCREASES PUSH FOR HAITIAN TO LEAVE OFFICE,Haitian crisis; Bush pressure for Aristide to resign.,19
24054,2/29/2004,Hussein's Regime Skimmed Billions From Aid Program,Oil-for-food scandal; first revelations.,19
24055,2/29/2004, Forget the Gators: Exotic Pets Run Wild in Florida,Exotic pets in Florida.,28
24056,2/29/2004,Edwards Changes Schedule in Effort To Gain on Kerry,Democratic primary; Edwards' strategy.,20
24057,3/1/2004,Sizing Up America: Signs of Expansion From Head to Toe,Health; obesity; increased numbers of overweight and obese Americans,3
24058,3/1/2004,'The Lord of the Rings' Ties Oscar Record,Oscar awards.,28
24059,3/1/2004, IRAQI LEADERSHIP GAINS AGREEMENT ON CONSTITUTION,Iraqi government; framework for interim constitution agreed upon.,19
24060,3/1/2004,HAITI PRESIDENT FORCED OUT; MARINES SENT TO KEEP ORDER,Haiti; U.S. Marines in response to riots and power vacuum.,16
24061,3/1/2004, Iraqi Oil Industry Rebounds,Recovery of the Iraqi oil industry.,19
24062,3/1/2004, Aristide Flees After a Shove From the U.S.,Fleeing of Aristide,19
24063,3/1/2004, Edwards Attacks Kerry Sharply In Debate as Crucial Votes Near,Presidential election; Democratic primary; Edwards v. Kerry contest.,20
24064,3/1/2004,Both Sides Court Black Churches In the Battle Over Gay Marriage,Supporters and opponents of same-sex unions seek the support of African-American churches and congregations.,2
24065,3/2/2004,"Like Japan in the 1980's, China Poses Big Economic Challenge",China's Economic Growth is Threat to U.S. Independence,18
24066,3/2/2004,Children in Shelters Hit Hard by Asthma,Spread of asthma among homeless children.,14
24067,3/2/2004,"This Baghdad Gunfire Celebrates Love, Not War",Story of how newly-married couple's courtship and marriage amidst war and destruction.,16
24068,3/2/2004," Even in Senate's Small Circle, Kerry and Edwards Stay Apart","Presidential election, Democratic primary; animosity of Edwards-Kerry primary contest spilling over into personal relationship in Senate.",20
24069,3/2/2004,Iraqis Receive U.S. Approval Of Constitution,U.S. endorses interim Iraqi constitution.,16
24070,3/2/2004,HAITIAN REBELS ENTER CAPITAL; ARISTIDE BITTER,Rebels assume control of Haitian capital; Aristide blames overthrow on U.S.; U.S. marines guard airport and presidential palace.,19
24071,3/2/2004,"Schools, Facing Tight Budgets, Leave Gifted Programs Behind",Budget cuts force schools to shut down programs for gifted children.,6
24072,3/2/2004,Dole Finding Winning Role As TV Pundit,Presidential election; Bob Dole's emergence as a TV pundit.,20
24073,3/3/2004,New Signs of Water Mean Mars May Once Have Supported Life,Space exploration; Mars; water-shaped landscapes suggest possibility there was once life on the planet.,17
24074,3/3/2004,Senate Leaders Scuttle Gun Bill Over Changes,Gun control; Democrat amendments force Republicans to abandon their bill for shielding gun manufacturers and dealers from lawsuits.,12
24075,3/3/2004,Broad Overhaul in New York City To Replace Many Middle Schools,Education; primary and secondary; NYC plans to close down middle schools and replace them with grammar-school-followed-by-high-school.,6
24076,3/3/2004,Ex-WorldCom Chief Is Indicted by U.S. In Securities Fraud,Corporate corruption; Worldcom scandal; CEO and subordinates indicted for securities fraud.,12
24077,3/3/2004,At Least 143 Die in Attacks At Two Sacred Sites in Iraq,Iraq; sectiarian struggle; deadly suicide-bombing attacks target Shiite sacred sites.,19
24078,3/3/2004,"KERRY IN BIG VICTORIES ACROSS NATION; EDWARDS WILL QUIT RACE, AN AIDE SAYS",Presidential election; Democratic primary; Kerry wins most remaining primaries; Edwards withdraws.,20
24079,3/3/2004,Sprinter Faces a Marathon,Presidential election; prospects for Kerry as Democratic candidate.,20
24080,3/4/2004,Marines Patrol Haiti; Disarming Promised,Haiti; overthrow of government; Marines begin patrolling the streets to restore a minimum of order.,16
24081,3/4/2004,Cleansing Iraqi Bomb Victims Takes Its Own Toll,Iraq; sectiarian struggle; large number of Shiite dead create strain for those who must wash the bodies for a proper Muslim burial.,19
24082,3/4/2004, How Tiny Swiss Cellphone Chips Helped Track Global Terror Web,Counter-terrorism; use of cell-phone chipsets in U.S. and European arrests of suspected terrorists.,19
24083,3/4/2004," Other Attacks Averted in Iraq, A General Says",Iraq; sectarian struggle; U.S. claims to have foiled anti-Shiite attacks in addition to the ones already committed in Baghdad and Karbala; Iraqi Shiite groups demand to have their own militias legalized to ensure their protection..,16
24084,3/4/2004,SPITZER'S OPINION MIXED ON STATUS OF GAY MARRIAGE,"Same-sex union; legal interpretation by NY Attorney General holds that while such marriages can be recognized by State law, they cannot be performed in NY State.",2
24085,3/4/2004,"Defied in Vote, Disney Leader Loses One Post",Disney corporation; large-scae shareholder revolt against Michael Eisner induces board to refuse him reelection as CEO.,15
24086,3/4/2004, Bush Ad Campaign Ready to Kick Off An Expensive Effort,Presidential election; Republican strategy; Bush campaign launches expensive ad campaign.,20
24087,3/4/2004,Documents Reveal the Evolution of a Justice,Supreme Court; revelations from Justice Harry Blackmun's private papers.,12
24088,3/5/2004,A 1907 Landmark Will Be Restored for Residential Use,9/11; tall building in the vicinity of Ground Zero fully repaired.,21
24089,3/5/2004,GERMAN JUDGES ORDER A RETRIAL FOR A 9/11 FIGURE,9/11; German court orders a retrial of man accused of being involved in 9/11 planning; U.S. refusal to release interrogation reports and to allow other suspects/prisoners to testify makes prosecution difficult.,16
24090,3/5/2004,On the Re-election Trail,Presidential election; Bush goes on the campaign trail.,20
24091,3/5/2004, RUSSIAN EXPERTS REPORTEDLY GAVE IRAQ MISSILE AID,Iraqi weapons; Russian experts aided Saddam Hussein's efforts to develop long-rage ballistic missiles.,16
24092,3/5/2004,Japan Seeks Robotic Help in Caring for the Aged,Care for the elderly; Japan's use of robots therein.,3
24093,3/5/2004,Companies Facing Ethical Issue As Drugs Are Tested Overseas,"Ethical questions surrounding use in medication testing of volunteers from countries where the medication, is effective, could not be sold.",3
24094,3/5/2004,"For a Diplomat, Task Is Quelling Disney's Unrest","Disney corporation; the prospect for Eisner's replacement as CEO, former Senator George Mitchell.",15
24095,3/5/2004," For Bloomberg And the G.O.P., Pre-Party Jitters",Difficulties for NYC mayor Michael Bloomberg in playing host to the Republican convention.,20
24096,3/5/2004,"Friends for Decades, But Years on Court Left Them Strangers",Supreme Court; release of the papers of Justice Harry Blackmun.,12
24097,3/6/2004,STEWART FOUND GUILTY OF LYING IN SALE OF STOCK,Corporate scandals; Martha Stewart found guilty in insider-trading trial.,12
24098,3/6/2004,A Harsh Blow To a Company Based on Image,Corporate scandals; Martha Stewart found guilty in insider-trading trial.,12
24099,3/6/2004,How Power Lobby Won Battle Of Pollution Control at E.P.A.,Business influence in environmental regulation; power companies secured more lenient treatment from the EPA.,20
24100,3/6/2004,Kerry's Shifts: Nuanced Ideas Or Flip-Flops?,Presidential election; Kerry's reputation for flip-flopping.,20
24101,3/6/2004," Iraqi Shiites, in Setback to U.S., Fail to Sign Temporary Charter",Iraq constitution; Shiite leaders refuse to sign temporary constitution.,19
24102,3/6/2004, Employers Reluctant to Hire,Low hiring levels despite economic growth,1
24103,3/6/2004,Bloomberg Is Said to Want State To Legalize Same-Sex Marriages,Same-sex uninons; NYC mayor Michael Bloomberg stated he favors their legalization in New York State.,2
24104,3/6/2004,GROWTH IN JOBS IS STILL SLUGGISH DESPITE FORECAST,Low hiring levels despite economic growth,1
24105,3/7/2004,"Behind Fall in Pregnancy, a New Teenage Culture of Restraint",Sexual Behavior in the American Teenager; decreased rates of teenage sex and increased use of contraceptives.,12
24106,3/7/2004," As Shocks Replace Police Bullets, Deaths Drop but Questions Arise","Police tactics; widespread use of taser- rather than conventional guns leads to questions about their use by the police, their possible harmful effects, and their potential as instruments of interrogation.",12
24107,3/7/2004, U.S. TEAM IS SENT TO DEVELOP CASE IN HUSSEIN TRIAL,U.S. legal team is sent to Iraq to develop war-crimes case against Saddam Hussein.,16
24108,3/7/2004, Stewart's Celebrity Created Magnet for Scrutiny,Corporate scandals; Martha Stewart found guilty in insider-trading trial.,12
24109,3/7/2004,KERRY CONDEMNS BUSH FOR FAILING TO BACK ARISTIDE,Presidential campaign; Kerry attacks Bush for not supporting deposed Haitian President Aristide.,19
24110,3/7/2004,"U.S. Detains Iraqis, and Families Plead for News","Iraq occupation; widespread arrests lead to significant numbers of Iraqis being held on slender causes for long periods of time, with their families kept in the dark about their whereabouts.",16
24111,3/7/2004, Bush Won't Pull Ads Showing 9/11 Images,Presidential election; controversy over whether President Bush should use images of 9/11 in his election ads.,20
24112,3/8/2004,"For a Promising but Poor Girl, A Struggle Over Sex and Goals",Sexual Behavior in the American Teenager; decreased rates of teenage sex and increased use of contraceptives.,12
24113,3/8/2004,14 Palestinians Killed in Battle As Israelis Raid Camps in Gaza,Israeli raid into Palestinian refugee camps.,19
24114,3/8/2004,College for the Home-Schooled Is Shaping Leaders for the Right,Evangelical home-schooling organizations becoming a recruiting ground of conservative activists and leaders.,6
24115,3/8/2004, Gunfire Kills 5 During a March In Haiti Capital,Instability in Haiti; shooting at rebel demonstration leads to fears of renewed civil war and anarchy.,19
24116,3/8/2004,"The Battle for Florida Heats Up, Stirring Memories of the Recount",Presidential election; both parties intensify their efforts to capture Florida.,20
24117,3/8/2004,TOP SHIITES DROP THEIR RESISTANCE TO IRAQI CHARTER,Iraq constitution; Shiite leaders drop their opposition to the provisional charter.,16
24118,3/8/2004,"For More Afghan Women, Immolation Is Escape",Afghanistan society after fall of Taliban; violence against women still barbaric enough that many womeon try to commit suicide by self-immolation.,19
24119,3/9/2004,Police Fight Looters in Haiti,Instability in Haiti; widespread looting develops in capital.,19
24120,3/9/2004,NEW CONCLUSIONS ON CHOLESTEROL,Research finds that current recommended cholesterol levels may not be low enough.,3
24121,3/9/2004,Top Deputy Resigns Schools Post Over Effort to Get Husband a Job,Resignation of high NYC school official over conflict of interest; difficulties this may pose in Mayor Bloomberg's reform efforts.,6
24122,3/9/2004, Oil Giant's Officials Knew Of Gaps in Reserves in '02,"Corporate scandal; CEO and CFO of oil company intentionally concealed report that its oil reserves were becoming low, in order to avoid stock price losses.",15
24123,3/9/2004,Reports of Rape In Pacific Spur Air Force Steps,"Air Force actions to combat increasing numbers of rape cases highlight general increase of such cases throughout the U.S. military, especially the Army's Central Command, with jurisdiction over Afghanistan and Iraq.",16
24124,3/9/2004,Body of Spalding Gray Found; Monologuist and Actor Was 62,"Death, apparently suicide, of actor and monologuist Spalding Grey. .",30
24125,3/9/2004," Gay and Republican, But Not Necessarily Disloyal to President",Attitudes of homosexual Republicans towards George W. Bush and the calls for a constitutional ban on same-sex marriage.,2
24126,3/9/2004," Iraq Council, With Reluctant Shiites, Signs Charter","Iraq constitution; temporary charter signed, although with reservations by Shiite leaders.",16
24127,3/10/2004, C.I.A. CHIEF SAYS HE'S CORRECTED CHENEY PRIVATELY,Executive statements about WMD and the necessity of overthrowing Saddam Hussein; CIA Director Tenet states that he corrected at least three times what he saw were misstatements of intelligence reports by Vice President Dick Cheney.,16
24128,3/10/2004,"Now, the Search for the Next Diva of Domesticity",Aftermath of Stewart conviction; several authors with TV appearances attempt to move in to the space left vacant by Stewart's conviction.,28
24129,3/10/2004,A Ritual Gone Fatally Wrong Puts Light on Masonic Secrecy,Masonic initiations; death leads to scrutiny.,31
24130,3/10/2004,Dam Building Threatens China's 'Grand Canyon',"""Nu"" Dam Project Sparks Environmental Debate Within China",19
24131,3/10/2004, Images Reveal Deepest Glance Into Universe,Images from Hubble telescope lead to renewed protests over NASA's planned abandonment of the project.,17
24132,3/10/2004, POLITICAL GROUPS TAKING ON BUSH IN AD CAMPAIGN,Presidential election; Republicans denounce anti-Bush ads financed by political groups formally unaffiliated with Kerry as a violation of election regulations.,20
24133,3/11/2004,Want to Volunteer in Schools? Be Ready for a Security Check,Increasingly stringent background checks are required for individuals volunteering in schools and kindergartens.,6
24134,3/11/2004,"DEFICIT IN TRADE TOPS $43 BILLION, MONTHLY RECORD",Monthly U.S. trade deficit reaches a record.,18
24135,3/11/2004, 4 Big Internet Providers File Suits To Stop Leading Senders of Spam,"Internet; large ISP's seek court orders to stop the sending of ""Spam"" e-mail advertisements.",17
24136,3/11/2004,"Kerry and Dean, All Forgiven, Join to Unseat a Common Foe",Presidential election; Democratic primary foes Kerry and Dean concert efforts to win the national election.,20
24137,3/11/2004,"Union, but Not Unanimity, As Europe's East Joins West",Expansion of the European Union.,19
24138,3/11/2004, A Widening Inquiry Focuses on Officers Tied to Drug Money,Corruption investigation in NYC over police links with drug-money.,12
24139,3/11/2004,Vote in House Offers a Shield In Obesity Suits,Congresses passes a law to prevent lawsuits being filed against restaurants for selling fattening food.,12
24140,3/12/2004,Carnage Yields Conflicting Clues As Officials Search for Culprits,Madrid bombings; the investigation.,19
24141,3/12/2004," 10 Bombs Shatter Trains in Madrid, Killing 192",Madrid bombings.,19
24142,3/12/2004,"At Shell, New Accounting and Rosier Oil Outlook",Corporate accounting; Shell attempts to leave behind its accounting scandals of the 90s.,15
24143,3/12/2004, San Francisco Forced to Halt Gay Marriages,"Same-sex unions; California Supreme Court finds San Francisco in violation of California's ""man-and-woman"" law on marriage.",2
24144,3/12/2004," In Science's Name, Lucrative Trade in Body Parts",Traffic in body parts discovered at UCLA.,3
24145,3/13/2004,GRIEVING CROWDS IN SPAIN SEETHE AT TRAIN ATTACKS,Madrid bomb attacks; aftermath.,19
24146,3/13/2004, China's Need for Metal Keeps U.S. Scrap Dealers Scrounging, China's Need for Metal Keeps U.S. Scrap Dealers Scrounging,18
24147,3/13/2004, Mayor's Aides Fight For New Standards On Pupil Promotion,Educational standards; NYC plan to reform regulations governing the minimum requirements for a pupil to move from one class grade to the next.,6
24148,3/13/2004, Iraqi Policemen Tied to Killing Of 2 Americans,Training of Iraq forces; policemen found to be involved in death of American civilians.,16
24149,3/13/2004,An M.R.I. Machine For Every Doctor? Someone Has to Pay,Increased use of advanced diagnostical imaging at doctor's offices rather than hospitals or labs; implications for insurance costs.,3
24150,3/13/2004,SENATE APPROVES BUDGET INTENDED TO CURB DEFICIT,Federal budget and deficit; Senate,1
24151,3/13/2004,Bombings Lead U.S. to Raise Security for Trains,U.S. increases security on trains after bombing in Madrid.,10
24152,3/14/2004,Video Claims Al Qaeda Set Blasts in Spain; Officials Arrest 3 Moroccans and 2 Indians,Madrid bombings; tape found where Al Qaeda took responsibility for the bombings; arrests of five suspects.,19
24153,3/14/2004,Newcomers Provide Fuel for Bush Money Machine,Fundraising for Bush re-election; new election laws shift fundraising to new experts able to raise large amounts from small individual donations.,20
24154,3/14/2004,U.S. WIDENS VIEW OF PAKISTAN LINK TO KOREAN ARMS,"Nuclear proliferation; CIA reports Pakistan scientists supplied North Korea with ""a complete package"" for the developmen of nuclear weapons.",16
24155,3/14/2004, Life Is Hard and Short in Haiti's Bleak Villages,life is hard in Haiti's villages,19
24156,3/14/2004,Democrats Demand Inquiry Into Charge By Medicare Officer,Efforts by White House to silence official's presentation of data to Congress regarding the high cost of Bush's Medicare legislation .,20
24157,3/14/2004, Crave Thin Mints? Girl Scout Cookies Available on eBay,Growing online world; Girl Scout cookies available on E-bay for communities with low presence of actual G.S.'s,17
24158,3/14/2004,U.S. Set to Ease Some Provisions Of School Law,Education reform; White House to ease requirements of its school improvement plan to accommodate complaints at the State and local level.,6
24159,3/15/2004," As Expected, Putin Gains Easy Victory",Putin re-elected with hardly any opposition to a second term as President of the Russian Federation.,19
24160,3/15/2004,"U.S. Videos, for TV News, Come Under Scrutiny",White House use of videos with people impersonating journalists to promote its Medicare reform law.,20
24161,3/15/2004," Following Attacks, Spain's Governing Party Is Beaten","Conservative government in Spain heavily defeated by Socialist Party in the election national election, primarily because of fallout from the Madrid bombings.",19
24162,3/15/2004, Blow to Bush: Ally Rejected,Defeat of Spanish Conservative government leaves Bush without one if it's few allies in the Iraqi occupation.,19
24163,3/15/2004,"Suicide Bombers Kill 10 in Israel, And Derail Prime Ministers' Talks","Palestinian suicide attacks in Israel cause a cancellation of Sharon's planned meeting with Arafat's succesor, as well as retaliation with assault helicopters and rockets.",19
24164,3/15/2004,G.I. Toll Is Rising as Insurgents Try Wilier Bombs and Tactics,Increasing number of American troop casualties because of growing sophistication of insurgents' tactics.,16
24165,3/15/2004, Scientists Begin to Question Benefit of 'Good' Cholesterol,"Medical debate over whether there really is such a thing as ""good"" cholesterol.",3
24166,3/15/2004, Companies Aiding Internet Gambling Feel U.S. Pressure,Federal prosecutors threatening to sue U.S. companies that supply advertisements for off-shore casinos; rise of Internet gambling.,15
24167,3/16/2004,The Garbage and the Governor: Enron in Impeachment Inquiry,Governor John Rowland's use of the Connecticut trash board to reward appointees; Enron's involvement.,20
24168,3/16/2004,Settlement Reached In Mutual Fund Case,Bank of America and FleetBoston agree to over half a billion dollars to settle federal lawsuit over improper trading in their mutual funds.,15
24169,3/16/2004," Spain Will Loosen Its Alliance With U.S., Premier-Elect Says",Newly-elected government in Spain announces it will loosen its alliance with the United States.,19
24170,3/16/2004,Bitter Division For Sierra Club On Immigration,Sierra Club divided over its stance towards continued immigration to the United States.,5
24171,3/16/2004,BLOOMBERG WINS ON SCHOOL TESTS AFTER FIRING FOES,NYC Mayor Bloomberg's use of mayoral power to remove uncooperative members of the School board who resisted his educational reform plans.,6
24172,3/16/2004,Mayor's Move To Hardball,NYC Mayor Bloomberg's use of mayoral power to remove uncooperative members of the School board who resisted his educational reform plans.,6
24173,3/16/2004, GREENSPAN SHIFTS VIEW ON DEFICITS,Federal Reserve Board chairman Alan Greenspan's more lenient attitude towards budget deficits after the replacement of Democrat Clinton by Republican Bush.,1
24174,3/16/2004,"From Bugs to Boxing, a Termite's Impact on Iraq",Revival of Iraq's boxing team; then-and-now of sports in Iraq.,19
24175,3/17/2004, Shell Is Said to Face New Reserves Inquiry,"Corporate scandal; CEO and CFO of oil company intentionally concealed report that its oil reserves were becoming low, in order to avoid stock price losses.",12
24176,3/17/2004,Madrid Suspect Under Scrutiny In 3 Countries,"Spain, France, and Morocco focus their investigation on the Madrid bombings on a reportedly key figure who was recently arrested.",19
24177,3/17/2004, Stop and Smell the Flowers? No Thanks,Winter weather returns to NYC after warm spell.,26
24178,3/17/2004,"Keeping Pupils in Third Grade, but Then What?",Questions about whether NYC mayor Bloomberg's plan to impose strict requirements for passing the third grade would not be counter-productive.,6
24179,3/17/2004,"Ah, Poetic Injustice! Seeking a Laureate, Queens Goes Blank",The Poet Laureate of Queens,28
24180,3/17/2004, 3 Banks Had Early Concern On WorldCom,Role of investment banks in aiding Worldcom to conceal its true financial position .,12
24181,3/17/2004,"For Iraqis in Harm's Way, $5,000 and 'I'm Sorry'","U.S. policy towards Iraqi victims of ""collateral damage.""",16
24182,3/17/2004,BUSH'S CAMPAIGN EMPHASIZES ROLE OF LEADER IN WAR,Bush re-election campaign focuses on him as war-leader.,20
24183,3/18/2004, Drug for Osteoporosis Clears a 10-Year Test,Extensive clinical trial concludes that osteoporosis drug is effective and safe.,3
24184,3/18/2004,Taiwan Voters Weighing How Far to Push China,Taiwan's Presidential Election Is a Balancing Act Between Asserting National Identity and Chinese Influence,19
24185,3/18/2004,Methodists Put Pastor on Trial For Declaring Herself a Lesbian,Methodist Church trial against pastor who declared herself a Lesbian; division in the Methodist church over whether the trial is justified.,2
24186,3/18/2004,Mysterious Fax Adds to Intrigue Over Drug Bill,Attempts by the White House to prevent government actuary from reporting the true estimated costs of Bush's plans for prescription drugs to be covered by Medicare.,20
24187,3/18/2004,"Love Canal Declared Clean, Ending Toxic Horror",Iconic polluted site declared clean by the EPA; possible use of this by EPA as a means for combatting budget cuts and criticism of its handling of the 9/11 aftermath.,7
24188,3/18/2004, Car Bomb at Baghdad Hotel Leaves at Least 27 Dead,Attack on Baghdad hotel; possible meaning as anniversary of U.S. invasion.,16
24189,3/18/2004,Tighter Gas Supply Is Expected to Send Prices Even Higher,Retail price of gasoline expected to rise dramatically because of concerns over oil industry in Venezuela and tighter environmental standards. .,8
24190,3/18/2004, CHENEY ATTACKS KERRY'S RECORD ON THE MILITARY,Vice-president attacks John Kerry as unfit to deal with matters of national security and the armed forces.,20
24191,3/19/2004,PAKISTANI TROOPS MAY BE CLOSING ON QAEDA'S NO. 2,"Pakistani forces supposedly close to capturing Osama Bin Laden's deputy, Ayman al-Zawahiri,",19
24192,3/19/2004,Microsoft Faces Antitrust Loss In Europe Case,Failure of settlement between the Microsoft corporation and European regulators over antitrust issues.,15
24193,3/19/2004,SCALIA REFUSING TO TAKE HIMSELF OFF CHENEY CASE,"Conservative justice Antonin Scalia refuses to recuse himself from inquiry into Vice President Cheney, who is considered to be a good friend of his.",12
24194,3/19/2004,Manhattan's No. 1 Man,New York win in NCAA basketball game.,29
24195,3/19/2004,Shell Withheld Reserves Data To Aid Nigeria,"Corporate scandal; internal documents indicate that Royal Dutch/Shell concealed the drawdown of its reserves in order to keep good relations with the Nigerian government, which was eager for oil production and investment to increase.",15
24196,3/19/2004,"Addressing the Unthinkable, U.S. Revives Study of Fallout","Possibility of terrorists using a nuclear bomb against the U.S. leads to a revival of the ""fallout analysis"" developed during the Cold War.",16
24197,3/19/2004,"McCain Joins Campaign Fray, Displaying Independent Streak",Presidential election; John McCain distances himself from White House attacks on John Kerry's voting record.,20
24198,3/19/2004,"A Year Later, an Iraqi Family Is Free but Wary",The story of one Iraqi family one year after the invasion.,16
24199,3/20/2004,"Where Coup Plots Are Routine, One That Is Not",Coups and instability in Equatorial Guinea; role of South African and Angolan mercenaries in African politics and security.,19
24200,3/20/2004,CHARGES DROPPED AGAINST CHAPLAIN,"Pentagon announces it will not proceed with the prosecution of James Yee, former Muslim chaplain at Guant�namo Bay, for mishandling evidence.",2
24201,3/20/2004, Bush Urges Nations To Help Rebuild Iraq,Bush calls on international community to increase support for the reconstruction and stabilization of Iraq.,16
24202,3/20/2004, Hussein's Fall Leads Syrians To Test Government Limits,Syrian dissidents encouraged by overthrow of Saddam Hussein to begin challenging features of the Syrian dictatorship.,19
24203,3/20/2004, Taiwanese Leaders Are Shot,Taiwan elections; Presidential and Vice-Presidential candidates shot.,19
24204,3/20/2004, Arab Journalists in Iraq Walk Out on Powell,Arab journalists boycott Powell briefing in protest of the shooting of two Arab TV journalists by American troops.,19
24205,3/20/2004,USA TODAY FINDS TOP WRITER LIED,Journalism ethics; Pulitzer-Prize winner of USA Today is found to have fabricated substantial parts of his news stories.,17
24206,3/20/2004,Clinton Aides Plan to Tell Panel Of Warning Bush Team on Qaeda,Clinton officials to tell 9/11 Comission that they warned incoming President Bush that Al Qaeda represented the gravest danger to the country.,16
24207,3/20/2004,"With Internet Fraud Up Sharply, EBay Attracts Vigilantes",Online world; fraud on Ebay leads to the appearance of vigilantes.,15
24208,3/20/2004, 90-DAY STRATEGY BY BUSH'S AIDES TO DEFINE KERRY,Bush's campaign strategy against Kerry to focus on dismantling the positive image he derived from the primary season.,20
24209,3/21/2004,TAIWAN'S LEADER WINS RE-ELECTION; TALLY IS DISPUTED,Taiwan Election; Chen Shui-ban Defeats Nationalist Opposition; Tally Disputed,19
24210,3/21/2004,Pakistan Battle Pierces Solitude Of Tribal Area,Battle in Pakistani border regions to capture Qaeda leaders; glimpse into normally restricted tribal areas.,16
24211,3/21/2004," At Guantanamo, Confinement and Interrogation",Treatment of prisoners at Guant�namo Bay and value of the interrogations conducted there.,2
24212,3/21/2004, CONCERNS RAISED OVER CONSULTANTS TO PENSION FUNDS,Links between financial managers of pension funds and the firms whose stock they recommend.,15
24213,3/21/2004," He Measures Oakland's Beat, And Parks Bloom in Return",Landscape architects efforts to revitalize park in Oakland; increasing prominence of such architects in project for urban renewal.,14
24214,3/21/2004, Jury of Methodists Clears Gay Minister Over a Relationship,Professedly Lesbian Methodist preacher is cleared by church court of wrongdoing in announcing her sexual preference.,2
24215,3/21/2004,New Heart Studies Question the Value Of Opening Arteries,Research into heart conditions puts doubt on whether procedures for opening arteries and other aggressive measures have any significant value.,3
24216,3/21/2004,Bremer Pushes Iraq on Difficult Path to Self-Rule,"Profile of Paul Bremer, head of American Provisional Authority in Iraq.",16
24217,3/22/2004,Welfare Rolls Drop In Sluggish Economy,"Decline in the number of people on welfare over the previous three years, despite worsening economic conditions during that time.",13
24218,3/22/2004,One Crucial Issue in Pledge Case: What Does 'Under God' Mean?,"Challenge to the inclusion of the words ""Under God"" in the Pledge of Allegiance, as violating the separation of Church and State.",2
24219,3/22/2004,"As Europe Hunts for Terrorists, The Hunted Press Advantages",Islamic radicals and militant cells in Europe; difficulty of tracking terrorist suspects given jurisdictional and bureaucratic obstacles.,19
